Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Remote_Work_Ratio_%,Automation_Risk_%,Location,Gender_Diversity_%,Job_Growth_Rate_%
museum/gallery exhibitions officer,transportation,increasing,moderate,136796.33,bachelor's degree,4.0,42.09,2.83,india,59.25,-33.37931034482759
english as a foreign language teacher,education,decreasing,moderate,38561.82,bachelor's degree,15.0,24.07,64.91,australia,61.36,139.55625990491282
public librarian,it,increasing,high,136288.75,associate degree,6.0,54.01,46.48,india,41.34,55.87051938551573
"engineer, control and instrumentation",transportation,increasing,low,126246.94,high school,15.0,56.92,34.11,brazil,69.58,-91.47319104633004
osteopath,it,increasing,moderate,63561.73,bachelor's degree,6.0,97.26,98.66,china,69.06,-57.92981359991669
recruitment consultant,retail,decreasing,low,137883.04,bachelor's degree,7.0,93.97,46.81,canada,63.56,709.132007233273
"restaurant manager, fast food",manufacturing,increasing,high,36844.55,associate degree,2.0,21.99,70.69,germany,24.16,31.63620539599652
textile designer,education,increasing,moderate,63952.52,master's degree,13.0,79.46,68.42,canada,51.87,-25.720679215479798
musician,it,increasing,low,138588.65,high school,9.0,76.41,61.1,brazil,43.45,78.43137254901961
"surveyor, hydrographic",finance,increasing,low,136766.64,high school,5.0,4.06,2.53,germany,38.08,-80.40472851132037
insurance account manager,entertainment,increasing,high,131476.79,high school,16.0,86.64,79.36,uk,22.59,-87.98020015065103
television camera operator,manufacturing,decreasing,high,117369.55,associate degree,12.0,11.29,62.75,china,51.6,-67.58747697974218
adult nurse,healthcare,increasing,high,92219.18,master's degree,6.0,7.39,51.03,china,67.08,-84.56132396282023
aid worker,retail,increasing,high,57188.38,high school,14.0,63.69,22.19,brazil,55.34,-20.341814443587765
"psychologist, forensic",entertainment,decreasing,moderate,37253.72,bachelor's degree,11.0,65.69,80.61,brazil,44.09,-81.4362730139355
"restaurant manager, fast food",manufacturing,increasing,low,112341.96,associate degree,17.0,17.23,56.87,china,25.28,-10.001859081613683
audiological scientist,healthcare,decreasing,moderate,42772.09,bachelor's degree,10.0,86.39,33.28,uk,40.24,574.4155844155844
fashion designer,transportation,decreasing,moderate,30337.54,bachelor's degree,7.0,22.48,50.53,india,64.52,-46.313164172630664
human resources officer,entertainment,increasing,moderate,39588.93,phd,14.0,19.98,42.13,india,33.61,76.76488036385209
international aid/development worker,healthcare,increasing,low,116915.63,high school,8.0,21.98,78.88,india,40.5,202.04746393671473
"horticulturist, commercial",finance,increasing,high,83110.87,high school,14.0,42.22,97.82,australia,66.57,3144.5544554455446
"editor, film/video",manufacturing,increasing,high,112262.67,bachelor's degree,9.0,15.77,11.26,uk,48.32,143.46026490066225
product manager,healthcare,decreasing,low,83800.44,master's degree,20.0,15.51,27.56,canada,73.7,-72.42058283013915
charity officer,healthcare,increasing,high,102919.41,phd,9.0,43.11,59.55,usa,65.26,258.8987764182425
human resources officer,entertainment,increasing,low,127905.17,phd,13.0,2.24,61.23,usa,24.62,-28.89048991354467
surgeon,it,increasing,low,139357.3,high school,11.0,37.43,26.01,canada,32.0,258.8706278971766
database administrator,education,increasing,low,67628.82,high school,6.0,78.83,68.91,usa,59.3,58.34373699542239
database administrator,entertainment,increasing,high,123091.96,high school,19.0,10.37,69.62,australia,78.85,143.07771487390633
it technical support officer,manufacturing,decreasing,low,66110.81,high school,13.0,16.84,74.32,germany,34.07,529.4080604534005
"journalist, magazine",education,increasing,low,148918.13,high school,19.0,76.38,93.86,usa,38.8,-80.76698462137433
"presenter, broadcasting",healthcare,decreasing,high,138825.86,bachelor's degree,0.0,11.75,69.41,brazil,61.13,-35.2589641434263
"lighting technician, broadcasting/film/video",education,decreasing,high,108805.77,high school,3.0,13.71,94.72,india,23.89,-79.00098586920802
transport planner,retail,decreasing,low,92066.93,master's degree,5.0,87.8,29.71,brazil,68.51,547.2990777338604
government social research officer,healthcare,increasing,moderate,83619.56,phd,16.0,41.36,57.03,brazil,65.72,4854.8387096774195
armed forces technical officer,transportation,decreasing,high,79824.56,master's degree,1.0,54.96,65.65,australia,50.99,-65.45859163884916
music tutor,finance,decreasing,high,123897.64,high school,6.0,34.19,59.89,usa,56.06,4602.7027027027025
information systems manager,healthcare,decreasing,moderate,66924.01,high school,20.0,42.02,2.46,australia,55.71,-54.05085110967464
environmental health practitioner,entertainment,decreasing,high,144966.14,associate degree,13.0,51.81,96.56,canada,55.07,-50.53596395836569
professor emeritus,it,increasing,moderate,132513.05,high school,13.0,11.99,79.74,canada,74.66,-93.75198223913733
environmental education officer,entertainment,increasing,moderate,148630.79,high school,4.0,77.77,67.69,germany,41.02,-84.87282463186078
politician's assistant,finance,decreasing,moderate,127396.69,bachelor's degree,15.0,91.35,71.92,brazil,23.75,47.85036292573981
dance movement psychotherapist,finance,increasing,moderate,35324.72,high school,1.0,24.17,77.18,brazil,41.18,-13.141397724634315
corporate investment banker,transportation,increasing,high,39875.56,bachelor's degree,8.0,29.52,48.39,china,77.44,-73.86706948640483
airline pilot,healthcare,decreasing,high,71276.24,master's degree,16.0,23.94,80.81,germany,22.35,-63.36906584992343
"surveyor, building control",transportation,decreasing,high,131945.07,bachelor's degree,16.0,9.14,5.07,uk,69.71,-74.38548906594337
"librarian, public",transportation,increasing,high,99059.19,high school,16.0,14.7,56.26,canada,42.41,4.592464910120659
"pilot, airline",manufacturing,increasing,moderate,54336.88,phd,8.0,77.76,13.72,usa,21.83,-73.62596135809416
cytogeneticist,entertainment,increasing,low,65974.4,associate degree,15.0,85.17,8.24,india,42.19,266.4835164835165
licensed conveyancer,entertainment,decreasing,low,113365.78,phd,16.0,96.25,97.2,australia,58.56,-68.77100336053769
architectural technologist,transportation,decreasing,low,105041.31,high school,20.0,52.79,23.98,uk,38.84,98.22784810126582
occupational psychologist,transportation,increasing,moderate,57936.36,phd,1.0,33.35,48.19,canada,29.36,68.27540402922293
media buyer,retail,decreasing,moderate,35800.08,phd,11.0,76.75,17.05,china,23.07,-61.34595874196821
broadcast journalist,healthcare,increasing,high,82439.15,master's degree,14.0,52.51,66.2,brazil,21.28,0.17966223499820336
quality manager,it,decreasing,high,86142.51,high school,3.0,80.22,21.35,usa,38.09,-75.09374621991049
fisheries officer,manufacturing,increasing,low,115056.76,phd,0.0,12.13,11.18,australia,59.02,53.59262730396751
"engineer, technical sales",finance,increasing,high,133795.59,bachelor's degree,14.0,25.04,37.78,uk,36.78,-21.666233428645697
medical technical officer,it,decreasing,low,141395.77,associate degree,18.0,16.68,67.4,canada,33.18,-81.29564193168434
chief technology officer,healthcare,increasing,low,75260.61,associate degree,13.0,69.12,76.65,india,37.89,156.54336338203294
restaurant manager,education,increasing,low,70646.08,master's degree,9.0,16.05,97.48,germany,58.22,79.9786552828175
paramedic,transportation,decreasing,high,90702.91,master's degree,5.0,29.9,15.84,brazil,76.07,342.2636103151862
paramedic,entertainment,decreasing,high,117080.03,phd,16.0,91.38,38.4,canada,70.66,1918.1159420289855
information officer,retail,increasing,moderate,97254.15,phd,2.0,97.64,47.04,india,64.06,-30.349099099099096
chief executive officer,retail,increasing,moderate,97767.63,high school,9.0,61.74,12.85,canada,41.19,4.4828014404569725
automotive engineer,entertainment,increasing,high,126248.28,master's degree,1.0,32.86,83.21,usa,25.17,-6.277056277056277
multimedia specialist,education,decreasing,high,97096.82,bachelor's degree,0.0,60.93,6.83,canada,55.38,-36.357744653272846
radio producer,retail,decreasing,high,83330.57,bachelor's degree,1.0,47.1,20.57,germany,70.54,99.61750956226095
land/geomatics surveyor,entertainment,decreasing,low,60089.03,high school,4.0,69.84,95.45,china,72.8,63.26342899190581
heritage manager,manufacturing,increasing,high,84853.23,master's degree,7.0,18.16,93.4,china,32.48,-44.813477737665465
"scientist, marine",education,increasing,moderate,144047.54,phd,15.0,91.93,61.54,china,23.51,77.49383546290069
telecommunications researcher,entertainment,increasing,high,94156.07,phd,2.0,23.16,2.37,usa,54.04,-86.3924565111364
magazine features editor,finance,decreasing,moderate,37149.56,high school,19.0,6.58,67.77,australia,28.44,-78.77917862938459
"pharmacist, hospital",finance,decreasing,low,68068.38,high school,5.0,34.96,17.71,germany,53.91,-52.19261726339162
cabin crew,it,increasing,moderate,80564.51,master's degree,2.0,24.94,2.81,uk,36.45,-20.870076425631982
heritage manager,education,decreasing,low,111482.64,master's degree,10.0,11.04,49.09,brazil,64.2,1298.2046678635547
sports therapist,healthcare,increasing,high,85913.61,phd,1.0,7.26,43.64,china,59.26,-13.938030473463545
paediatric nurse,entertainment,increasing,low,71460.62,bachelor's degree,2.0,41.09,84.31,usa,47.82,-65.63629565000623
tour manager,education,increasing,high,33124.18,high school,18.0,89.09,12.02,canada,40.88,-70.39286392104763
food technologist,transportation,increasing,moderate,42895.83,bachelor's degree,14.0,78.87,90.22,usa,45.45,-34.309348739495796
public house manager,it,increasing,low,74223.71,master's degree,8.0,33.5,33.18,india,75.76,-20.04894962267999
quarry manager,entertainment,increasing,low,146313.97,master's degree,19.0,43.47,42.9,india,31.08,326.98485543827445
recruitment consultant,entertainment,increasing,moderate,56626.52,high school,12.0,95.21,42.11,australia,54.94,84.69184890656064
database administrator,manufacturing,decreasing,low,126979.01,associate degree,3.0,20.06,68.14,india,37.48,195.6628729621655
risk manager,retail,decreasing,low,95523.68,bachelor's degree,1.0,89.9,90.09,brazil,21.06,-71.9657258064516
personal assistant,it,increasing,low,74026.99,master's degree,2.0,14.25,29.54,china,47.13,-38.75442739079103
diplomatic services operational officer,healthcare,increasing,moderate,121042.22,high school,18.0,54.75,82.57,uk,77.6,15.821578345406023
public relations officer,entertainment,increasing,low,113058.52,associate degree,14.0,34.57,4.97,brazil,63.06,-43.86126105432411
"geologist, wellsite",manufacturing,decreasing,low,74895.77,bachelor's degree,9.0,39.43,23.96,canada,52.27,176.04387827317765
geographical information systems officer,transportation,decreasing,low,135973.86,bachelor's degree,20.0,93.49,69.72,australia,65.43,-1.7423442449841606
environmental consultant,it,increasing,high,119246.27,bachelor's degree,20.0,15.51,94.06,usa,50.89,1139.250493096647
"lighting technician, broadcasting/film/video",transportation,decreasing,high,30200.34,bachelor's degree,10.0,11.47,45.67,brazil,68.98,-61.175496688741724
mechanical engineer,finance,decreasing,moderate,94261.47,bachelor's degree,6.0,50.27,73.26,china,67.67,542.7437641723355
chartered public finance accountant,finance,decreasing,high,97056.89,high school,13.0,81.59,36.67,germany,43.68,553.030303030303
translator,retail,increasing,low,101613.06,associate degree,6.0,16.94,38.76,canada,24.14,-24.847284134059766
tax inspector,healthcare,increasing,low,41030.24,phd,10.0,52.29,6.09,china,49.26,152.0504731861199
"journalist, magazine",entertainment,increasing,high,91638.77,bachelor's degree,12.0,54.18,46.2,australia,77.33,141.24665205746288
stage manager,transportation,increasing,low,66592.08,phd,19.0,22.92,0.12,china,36.9,-45.16094188809679
"designer, television/film set",entertainment,increasing,low,128242.47,associate degree,3.0,67.76,76.94,uk,51.68,0.45127323519931234
"engineer, production",manufacturing,decreasing,high,66501.37,bachelor's degree,8.0,96.16,12.65,uk,20.3,55.89764094362255
mechanical engineer,manufacturing,increasing,low,96368.71,phd,9.0,41.95,2.8,china,20.94,-48.75962360992301
"geologist, engineering",finance,increasing,high,140448.37,bachelor's degree,17.0,82.13,63.37,canada,22.88,-92.09155999132133
"civil engineer, contracting",retail,increasing,low,74902.28,associate degree,17.0,92.1,81.63,uk,21.09,667.4493062966915
"teacher, early years/pre",finance,decreasing,moderate,35024.9,master's degree,2.0,89.97,41.61,germany,65.07,-31.725233273774073
senior tax professional/tax inspector,education,increasing,moderate,36986.36,associate degree,7.0,89.02,92.99,uk,26.73,-84.92177850967477
operations geologist,healthcare,decreasing,low,68147.82,master's degree,15.0,69.48,72.06,australia,79.5,38.28213879408418
"designer, jewellery",manufacturing,increasing,low,126256.31,bachelor's degree,10.0,64.14,42.16,uk,67.35,71.20737647877523
retail manager,education,decreasing,moderate,143886.06,master's degree,17.0,99.98,95.62,canada,21.56,-92.6106092193653
manufacturing systems engineer,healthcare,decreasing,high,110524.52,master's degree,17.0,95.15,41.83,china,54.78,118.37312828814245
arts administrator,it,decreasing,low,117885.71,bachelor's degree,4.0,97.12,98.13,uk,56.42,-12.903576475703883
orthoptist,education,decreasing,low,128587.29,master's degree,11.0,3.5,36.97,germany,76.27,23.279989057584462
"programmer, systems",transportation,increasing,moderate,149139.72,associate degree,5.0,16.32,11.26,usa,31.64,187.5265167585914
barrister,entertainment,decreasing,high,144715.48,phd,7.0,29.65,52.43,india,44.52,-46.055074257425744
hydrographic surveyor,transportation,increasing,moderate,35384.14,phd,19.0,3.22,88.73,china,35.94,-77.01056051990251
"designer, exhibition/display",entertainment,increasing,low,103589.2,bachelor's degree,5.0,44.75,94.15,usa,72.15,39.71160448615244
optometrist,finance,increasing,moderate,63320.87,master's degree,10.0,6.18,43.74,uk,35.25,-27.72452440642973
proofreader,healthcare,decreasing,low,98919.21,associate degree,9.0,15.7,60.3,brazil,49.14,-45.11835933238791
media planner,manufacturing,decreasing,high,65028.25,phd,15.0,47.66,39.48,canada,67.21,-71.26626957864549
publishing copy,it,decreasing,high,132287.42,bachelor's degree,0.0,67.69,48.79,uk,51.8,215.8017765310893
media buyer,healthcare,decreasing,high,102612.89,associate degree,10.0,85.53,90.93,australia,76.67,51.51452282157676
veterinary surgeon,healthcare,increasing,low,54909.54,associate degree,4.0,18.18,66.27,australia,52.47,-68.69148704550403
"editor, magazine features",it,increasing,high,57019.14,high school,16.0,42.36,75.08,canada,45.75,366.7833916958479
armed forces technical officer,finance,increasing,low,36361.66,phd,17.0,34.85,32.8,germany,49.55,353.3604887983706
child psychotherapist,it,increasing,moderate,147134.63,master's degree,2.0,70.53,97.18,china,42.68,55.927750410509034
seismic interpreter,education,increasing,moderate,67354.93,bachelor's degree,12.0,73.51,96.08,australia,72.91,-53.13623651618058
"geneticist, molecular",manufacturing,decreasing,high,31319.64,bachelor's degree,11.0,8.82,1.53,usa,68.06,-84.6027846027846
industrial buyer,education,decreasing,moderate,96393.87,associate degree,18.0,31.45,1.7,australia,60.65,79.43548387096774
leisure centre manager,healthcare,decreasing,moderate,99672.63,associate degree,16.0,40.39,92.04,germany,39.89,72.35269880510918
research scientist (medical),manufacturing,decreasing,high,58316.61,associate degree,18.0,44.71,16.01,usa,67.07,85.73943661971832
risk analyst,transportation,increasing,low,70492.07,high school,15.0,33.95,54.21,brazil,56.22,52.70476190476191
hydrogeologist,education,decreasing,high,103024.76,bachelor's degree,6.0,42.69,20.33,germany,76.56,-87.24039298594703
bookseller,it,increasing,high,147070.8,bachelor's degree,14.0,72.88,84.63,uk,74.8,53.297682709447415
data scientist,transportation,decreasing,moderate,101074.44,master's degree,20.0,75.97,61.58,uk,33.37,-15.33625730994152
art therapist,healthcare,decreasing,low,105623.85,bachelor's degree,12.0,58.3,63.58,india,70.04,3.4387294186215938
facilities manager,finance,decreasing,low,57175.17,master's degree,9.0,76.67,21.78,australia,48.81,-54.588276343335664
commissioning editor,transportation,increasing,moderate,86366.47,master's degree,15.0,6.66,22.06,germany,37.33,54.081374778872885
speech and language therapist,manufacturing,decreasing,moderate,114561.05,associate degree,17.0,5.39,61.52,canada,74.3,-48.81060262800182
"surveyor, building control",healthcare,increasing,low,111274.37,high school,4.0,89.0,59.03,brazil,56.88,308.859357696567
glass blower/designer,finance,increasing,low,93641.38,bachelor's degree,4.0,49.71,41.52,canada,29.55,3114.028776978417
"buyer, retail",healthcare,decreasing,low,50825.94,master's degree,10.0,24.11,14.69,germany,25.1,-94.23862707709071
health physicist,healthcare,decreasing,moderate,34199.42,high school,6.0,40.14,22.92,uk,26.39,144.84228473998294
chartered accountant,entertainment,decreasing,high,92756.17,bachelor's degree,0.0,58.55,37.54,usa,75.27,395.54062309102017
audiological scientist,entertainment,decreasing,low,40266.12,phd,16.0,41.2,0.66,usa,76.49,33.08270676691729
dispensing optician,healthcare,decreasing,moderate,75546.85,master's degree,4.0,96.79,53.88,canada,46.1,732.9166666666666
art gallery manager,finance,increasing,low,138483.01,associate degree,18.0,21.77,29.02,china,74.17,-21.48148148148148
manufacturing engineer,manufacturing,decreasing,moderate,131385.7,phd,6.0,90.1,77.2,uk,56.23,142.0919656392117
public relations account executive,finance,increasing,low,88789.92,bachelor's degree,10.0,51.66,74.04,india,72.2,-42.12721584984359
museum/gallery conservator,finance,decreasing,low,81882.01,phd,16.0,60.61,67.71,germany,70.47,1938.60103626943
"producer, television/film/video",entertainment,increasing,low,87516.61,high school,20.0,40.47,30.59,china,53.87,2639.4736842105262
"conservation officer, nature",transportation,increasing,moderate,36082.68,phd,18.0,78.19,6.25,usa,71.05,-48.50366125437759
homeopath,it,increasing,moderate,116896.03,phd,13.0,79.69,28.45,china,29.84,157.67866193613787
claims inspector/assessor,healthcare,increasing,high,134725.96,phd,18.0,91.0,99.23,germany,48.37,-60.31914893617021
commercial art gallery manager,education,increasing,high,66513.14,master's degree,15.0,1.7,79.79,china,27.24,-49.35874599216245
"scientist, research (maths)",education,increasing,low,98440.79,bachelor's degree,7.0,9.73,63.5,uk,47.36,55.78699155040283
dance movement psychotherapist,transportation,increasing,high,68232.28,associate degree,5.0,53.17,68.21,germany,76.37,20.8248264597795
building surveyor,entertainment,increasing,moderate,105467.19,associate degree,5.0,71.49,27.19,china,44.22,-88.39342863238745
paediatric nurse,manufacturing,increasing,moderate,51491.49,phd,4.0,39.51,35.67,germany,60.78,-65.53546027230239
chartered accountant,entertainment,decreasing,moderate,81589.35,master's degree,8.0,40.63,97.45,germany,59.92,97.94712286158631
"librarian, public",entertainment,increasing,low,107983.43,master's degree,15.0,40.2,14.37,australia,77.53,14.04556514045565
emergency planning/management officer,finance,decreasing,high,44843.0,associate degree,5.0,60.77,11.04,australia,31.83,-49.093298291721425
field trials officer,retail,increasing,low,55783.84,master's degree,12.0,20.78,69.82,australia,21.05,21.795575059425854
podiatrist,finance,decreasing,high,132351.33,master's degree,0.0,41.8,18.91,china,58.23,237.76758409785936
applications developer,healthcare,decreasing,moderate,40024.5,phd,10.0,24.05,23.84,china,57.98,123.64899639732371
industrial/product designer,manufacturing,decreasing,high,61271.87,master's degree,7.0,43.7,92.33,india,51.22,-78.15166639832555
advertising copywriter,transportation,increasing,moderate,116905.6,phd,2.0,15.69,49.96,canada,60.74,109.01601830663617
art therapist,healthcare,decreasing,moderate,39358.2,phd,16.0,58.58,40.35,brazil,45.06,1.866049472009258
commercial horticulturist,it,increasing,high,132336.86,master's degree,16.0,53.47,1.59,china,79.63,10.370788631658197
technical brewer,retail,decreasing,moderate,71462.72,master's degree,12.0,57.57,21.75,canada,46.39,123.07116104868913
office manager,transportation,decreasing,high,108013.22,master's degree,16.0,70.31,25.85,germany,26.98,-61.71566099363933
"librarian, public",finance,increasing,low,63105.01,master's degree,0.0,66.56,2.48,australia,56.1,-83.2936229852838
restaurant manager,transportation,decreasing,low,62546.55,phd,8.0,29.16,55.58,brazil,23.26,123.42023862129916
"engineer, materials",transportation,decreasing,low,81236.07,master's degree,6.0,44.97,27.83,canada,36.74,-55.64884102938492
environmental health practitioner,it,decreasing,high,116002.52,bachelor's degree,14.0,46.22,17.22,india,39.0,-69.07730673316709
environmental manager,healthcare,increasing,moderate,106867.79,master's degree,2.0,57.12,14.45,usa,31.8,80.53177106804867
"engineer, site",entertainment,decreasing,moderate,89782.68,master's degree,3.0,12.74,5.12,usa,79.63,82.35056542810986
food technologist,healthcare,increasing,moderate,34352.8,bachelor's degree,10.0,40.11,9.87,germany,30.4,1.7421602787456445
paediatric nurse,entertainment,increasing,low,74378.28,associate degree,18.0,90.98,1.86,australia,49.77,-88.19916648387805
commissioning editor,it,decreasing,high,82541.97,master's degree,4.0,61.85,44.77,india,23.62,45.352798053527984
chartered legal executive (england and wales),manufacturing,increasing,moderate,79194.5,bachelor's degree,10.0,40.78,52.54,usa,31.07,45.626713182157985
transport planner,manufacturing,increasing,low,144601.7,master's degree,16.0,30.04,40.7,australia,62.3,-44.32276657060519
jewellery designer,manufacturing,decreasing,high,58779.65,high school,2.0,79.03,65.14,brazil,73.4,2872.280701754386
building services engineer,healthcare,decreasing,high,34175.15,high school,0.0,97.33,11.77,brazil,42.68,0.9817671809256662
control and instrumentation engineer,entertainment,increasing,low,114347.95,bachelor's degree,9.0,83.48,92.77,india,69.28,32.621858916136844
best boy,healthcare,increasing,low,140545.28,bachelor's degree,1.0,68.49,40.17,australia,39.63,-18.66950505588079
radio broadcast assistant,transportation,decreasing,moderate,86899.36,phd,1.0,14.34,88.37,canada,71.44,-54.27607297268797
charity officer,manufacturing,increasing,moderate,107911.32,associate degree,9.0,33.54,42.19,china,62.48,-57.58162700608743
science writer,it,decreasing,high,68222.74,bachelor's degree,8.0,5.29,10.77,uk,72.36,1207.1065989847716
print production planner,transportation,increasing,moderate,32600.34,associate degree,14.0,99.84,66.93,canada,70.38,-23.45771144278607
manufacturing engineer,finance,increasing,moderate,86984.84,associate degree,2.0,52.71,49.91,india,56.87,-32.19787372532002
"scientist, research (medical)",it,increasing,low,84094.99,bachelor's degree,18.0,97.85,91.19,china,20.34,-6.626778053736736
"presenter, broadcasting",transportation,decreasing,low,40269.75,associate degree,3.0,29.11,72.11,brazil,56.07,316.52134006424967
advice worker,it,increasing,moderate,75205.59,associate degree,16.0,52.05,11.92,china,47.1,-5.954123962908736
"designer, furniture",it,increasing,low,97350.33,master's degree,6.0,2.97,14.06,germany,44.82,-33.33333333333333
"engineer, mining",manufacturing,decreasing,high,91953.47,master's degree,11.0,82.59,54.52,china,22.72,362.56410256410254
midwife,manufacturing,decreasing,high,103920.64,master's degree,0.0,14.03,81.85,india,57.99,5.213549337260678
"social research officer, government",finance,decreasing,high,66552.37,associate degree,17.0,15.46,62.06,canada,41.45,15.344079355238685
commercial art gallery manager,it,increasing,high,73558.82,master's degree,16.0,58.61,8.29,usa,28.07,-87.10547929132935
accommodation manager,transportation,increasing,high,71119.5,high school,6.0,44.1,50.46,india,60.93,179.72861842105263
lawyer,education,decreasing,moderate,52545.24,phd,7.0,68.22,13.8,china,54.54,-54.97532894736842
"engineer, chemical",healthcare,decreasing,moderate,136358.35,phd,1.0,51.99,41.23,brazil,61.89,168.01640184520758
learning mentor,manufacturing,increasing,moderate,114269.37,high school,4.0,85.22,53.05,uk,25.26,847.5675675675676
nature conservation officer,it,decreasing,low,39960.44,associate degree,16.0,10.16,22.75,brazil,29.43,-95.31062604941233
telecommunications researcher,it,decreasing,high,110756.37,high school,12.0,70.53,68.35,canada,35.99,-95.39891205802358
associate professor,finance,decreasing,low,136734.95,associate degree,16.0,29.36,68.94,brazil,63.19,-60.2571879170205
contracting civil engineer,retail,decreasing,high,103431.83,phd,9.0,30.81,95.08,usa,45.26,-10.435931307793924
media planner,finance,increasing,high,137586.26,high school,4.0,32.11,81.43,usa,78.11,171.5261958997722
"sales professional, it",transportation,increasing,moderate,65646.35,phd,4.0,76.14,70.95,usa,45.44,92.6302414231258
research scientist (maths),it,decreasing,high,149254.5,master's degree,4.0,90.78,15.43,usa,29.73,931.1893203883494
tefl teacher,manufacturing,decreasing,high,34019.09,master's degree,20.0,43.37,68.88,brazil,57.81,-82.01350521792511
materials engineer,finance,decreasing,moderate,62668.13,bachelor's degree,3.0,30.79,36.82,india,74.97,-3.2224062641168496
field seismologist,education,decreasing,moderate,115132.99,high school,2.0,59.36,75.02,china,30.23,-69.10307234886027
computer games developer,finance,increasing,moderate,66844.62,high school,12.0,23.97,11.68,china,30.38,744.2910915934755
acupuncturist,education,decreasing,moderate,57367.37,master's degree,10.0,19.51,95.61,uk,44.48,75.75428695463425
chief operating officer,healthcare,decreasing,high,114449.15,bachelor's degree,8.0,42.45,98.57,germany,36.43,131.74463077375697
personal assistant,transportation,increasing,moderate,112405.21,associate degree,16.0,49.22,35.66,brazil,48.68,354.4375
interpreter,retail,decreasing,low,51062.92,bachelor's degree,7.0,91.64,35.62,canada,75.36,-8.880874563281866
interpreter,education,decreasing,high,93908.37,phd,1.0,47.52,84.4,usa,38.05,-87.8130950637176
video editor,healthcare,increasing,high,122188.2,high school,0.0,32.45,62.96,india,70.38,1018.3060109289617
ecologist,retail,decreasing,high,89899.25,bachelor's degree,5.0,21.58,0.44,china,29.97,-90.53738317757009
management consultant,transportation,decreasing,moderate,93375.92,bachelor's degree,9.0,59.54,89.22,australia,30.74,-29.150227617602425
training and development officer,entertainment,increasing,high,47229.35,bachelor's degree,11.0,34.16,51.13,usa,55.37,-45.277963831212325
clinical biochemist,retail,decreasing,moderate,127658.55,master's degree,12.0,81.77,41.18,australia,53.04,3419.8198198198197
higher education careers adviser,transportation,decreasing,high,102415.85,high school,6.0,80.09,26.61,india,66.09,-61.27644933769139
horticultural consultant,finance,increasing,high,137288.73,phd,10.0,9.61,26.54,china,35.75,8.174157303370787
careers adviser,finance,increasing,high,93695.36,bachelor's degree,6.0,30.45,29.42,australia,78.59,68.34224598930481
hospital doctor,manufacturing,increasing,high,107596.42,phd,13.0,89.7,33.38,canada,55.19,-57.01502616917102
chiropractor,transportation,increasing,high,83021.16,phd,18.0,57.72,33.75,canada,33.7,-14.746543778801843
museum/gallery curator,education,decreasing,low,57748.1,master's degree,1.0,2.23,83.25,usa,39.74,-16.624645445950204
"conservation officer, historic buildings",entertainment,increasing,high,103445.35,phd,0.0,92.53,9.58,canada,59.13,-15.020372205704218
television production assistant,education,increasing,low,67544.3,phd,17.0,26.91,83.03,china,36.77,-93.20518092105263
"merchandiser, retail",retail,decreasing,high,56251.11,high school,6.0,36.52,11.4,canada,27.62,-48.945235373584126
clinical molecular geneticist,it,increasing,low,132739.36,bachelor's degree,7.0,74.93,92.07,india,56.53,462.378640776699
editorial assistant,it,increasing,high,31348.77,master's degree,12.0,60.26,41.09,australia,47.45,30.915920254261774
actor,it,decreasing,high,93924.8,bachelor's degree,20.0,4.95,23.39,usa,56.49,8.170232134729176
"investment banker, corporate",transportation,increasing,high,42980.32,phd,3.0,76.29,27.78,australia,56.52,783.8616714697406
private music teacher,transportation,increasing,high,143102.86,phd,1.0,56.09,17.4,china,65.51,56.0622914349277
"engineer, drilling",healthcare,increasing,high,134420.89,associate degree,11.0,23.66,72.82,uk,78.03,-58.64297253634895
curator,entertainment,increasing,low,45421.03,associate degree,8.0,26.48,10.46,germany,56.14,332.52314814814815
bonds trader,education,decreasing,low,138381.46,bachelor's degree,13.0,36.65,35.5,australia,28.41,-98.38760175328741
arts development officer,it,increasing,moderate,100694.18,associate degree,15.0,90.47,36.84,australia,23.55,-69.375
metallurgist,it,decreasing,low,36899.97,master's degree,19.0,54.01,2.99,australia,72.4,-12.735166425470332
chartered certified accountant,finance,increasing,moderate,58083.58,phd,11.0,93.81,43.13,uk,47.25,-82.10337615775322
"psychologist, occupational",entertainment,decreasing,low,120206.9,associate degree,15.0,19.19,20.33,australia,39.56,-78.60985128151039
advertising account executive,retail,increasing,moderate,79247.56,bachelor's degree,18.0,97.16,63.98,usa,52.83,3177.027027027027
systems analyst,transportation,increasing,low,112998.61,master's degree,4.0,90.38,21.4,brazil,75.95,609.9919419822724
audiological scientist,transportation,increasing,high,110666.33,phd,1.0,0.09,81.16,usa,23.52,66.62546353522868
"secretary, company",transportation,decreasing,low,131592.27,bachelor's degree,6.0,79.05,94.84,india,35.55,-24.41422848124317
administrator,manufacturing,decreasing,moderate,117464.8,phd,0.0,59.1,60.39,uk,70.96,114.00666984278227
comptroller,manufacturing,increasing,high,141629.89,bachelor's degree,10.0,73.98,25.25,germany,50.21,-94.1353685479012
"designer, television/film set",education,increasing,high,55371.51,phd,11.0,9.69,21.66,canada,37.39,38.71987356775978
housing manager/officer,transportation,decreasing,moderate,96983.74,phd,17.0,25.64,97.36,brazil,69.66,232.19852337981953
